TIMECODE,DATA1,DATA2
0.0,0.033,20.0
0.01,0.0929998,20.0
0.02,0.161998,20.0
0.03,0.178994,20.0
0.04,0.199987,20.0
0.05,0.257974,20.0
0.06,0.351955,20.0
0.07,0.405929,20.0
0.08,0.455893,20.0
0.09,0.468848,20.0
0.1,0.510792,20.0
0.11,0.600723,20.0
0.12,0.64264,20.0
0.13,0.654542,20.0
0.14,0.707428,20.0
0.15,0.842297,20.0
0.16,0.829147,20.0
0.17,0.914977,20.0
0.18,0.967786,20.0
0.19,0.980572,20.0
0.2,1.01533,20.0
0.21,1.09507,20.0
0.22,1.16978,20.0
0.23,1.21547,20.0
0.24,1.27712,20.0
0.25,1.26975,20.0
0.26,1.34534,20.0
0.27,1.4379,20.0
0.28,1.45943,20.0
0.29,1.51392,20.0
0.3,1.54538,20.0
0.31,1.5708,20.0
0.32,1.68318,20.0
0.33,1.66652,20.0
0.34,1.72682,20.0
0.35,1.76108,20.0
0.36,1.8343,20.0
0.37,1.84947,20.0
0.38,1.95059,20.0
0.39,2.02167,20.0
0.4,2.04969,20.0
0.41,2.03667,20.0
0.42,2.0946,20.0
0.43,2.16947,20.0
0.44,2.2583,20.0
0.45,2.26206,20.0
0.46,2.30877,20.0
0.47,2.42543,20.0
0.48,2.45203,20.0
0.49,2.51656,20.0
0.5,2.56404,20.0
0.51,2.56645,20.0
0.52,2.6048,20.0
0.53,2.64409,20.0
0.54,2.69631,20.0
0.55,2.74547,20.0
0.56,2.79056,20.0
0.57,2.83757,20.0
0.58,2.90252,20.0
0.59,2.9414,20.0
0.6,2.9592,20.0
0.61,3.06293,20.0
0.62,3.09959,20.0
0.63,3.11816,20.0
0.64,3.20166,20.0
0.65,3.22509,20.0
0.66,3.31243,20.0
0.67,3.30069,20.0
0.68,3.42487,20.0
0.69,3.39096,20.0
0.7,3.44798,20.0
0.71,3.4809,20.0
0.72,3.61774,20.0
0.73,3.61849,20.0
0.74,3.64315,20.0
0.75,3.68172,20.0
0.76,3.8062,20.0
0.77,3.77959,20.0
0.78,3.89788,20.0
0.79,3.89708,20.0
0.8,3.95018,20.0
0.81,4.02419,20.0
0.82,4.07909,20.0
0.83,4.0769,20.0
0.839999,4.0846,20.0
0.849999,4.12921,20.0
0.859999,4.17771,20.0
0.869999,4.2681,20.0
0.879999,4.31139,20.0
0.889999,4.36958,20.0
0.899999,4.43265,20.0
0.909999,4.43262,20.0
0.919999,4.44048,20.0
0.929999,4.57423,20.0
0.939999,4.55886,20.0
0.949999,4.61038,20.0
0.959999,4.71279,20.0
0.969999,4.71808,20.0
0.979999,4.76926,20.0
0.989999,4.76131,20.0
0.999999,4.82125,20.0
1.01,4.88007,20.0
1.02,4.88777,20.0
1.03,4.99335,20.0
1.04,4.9808,20.0
1.05,5.01313,20.0
1.06,5.06533,20.0
1.07,5.17841,20.0
1.08,5.19936,20.0
1.09,5.25518,20.0
1.1,5.25787,20.0
1.11,5.28343,20.0
1.12,5.35886,20.0
1.13,5.41816,20.0
1.14,5.49332,20.0
1.15,5.46334,20.0
1.16,5.51824,20.0
1.17,5.55299,20.0
1.18,5.58161,20.0
1.19,5.69208,20.0
1.2,5.69742,20.0
1.21,5.77462,20.0
1.22,5.74167,20.0
1.23,5.84858,20.0
1.24,5.90535,20.0
1.25,5.90097,20.0
1.26,5.94144,20.0
1.27,5.94477,20.0
1.28,6.03395,20.0
1.29,6.04598,20.0
1.3,6.12486,20.0
1.31,6.13859,20.0
1.32,6.15216,20.0
1.33,6.20059,20.0
1.34,6.24986,20.0
1.35,6.30597,20.0
1.36,6.36593,20.0
1.37,6.35273,20.0
1.38,6.36837,20.0
1.39,6.50085,20.0
1.4,6.45017,20.0
1.41,6.57333,20.0
1.42,6.60633,20.0
1.43,6.59417,20.0
1.44,6.67884,20.0
1.45,6.72435,20.0
1.46,6.75669,20.0
1.47,6.72587,20.0
1.48,6.75388,20.0
1.49,6.82571,20.0
1.5,6.90338,20.0
1.51,6.86288,20.0
1.52,6.89821,20.0
1.53,7.01237,20.0
1.54,7.02935,20.0
1.55,7.00016,20.0
1.56,7.10579,20.0
1.57,7.06825,20.0
1.58,7.17753,20.0
1.59,7.14363,20.0
1.6,7.25656,20.0
1.61,7.2603,20.0
1.62,7.31287,20.0
1.63,7.36425,20.0
1.64,7.31345,20.0
1.65,7.35547,20.0
1.66,7.38431,20.0
1.67,7.42296,20.0
1.68,7.44643,20.0
1.69,7.57571,20.0
1.7,7.5548,20.0
1.71,7.6307,20.0
1.72,7.63842,20.0
1.73,7.65795,20.0
1.74,7.66728,20.0
1.75,7.70643,20.0
1.76,7.76538,20.0
1.77,7.82515,20.0
1.78,7.78971,20.0
1.79,7.80209,20.0
1.8,7.84826,20.0
1.81,7.91925,20.0
1.82,7.97703,20.0
1.83,7.99962,20.0
